연월,종목명,종목코드,시장아이디,종가,최고가(종가),최저가(종가),표준편차,첨도,공왜도,베타,Amihud,Amivest,Zeros,거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균
"2021/12","S-Oil우","010955","STK","54800","58300","54500","1.696385","0.807108",,,"0.002187482","13643.3299","4.545455","242878","11040","13632868600","619675845"
"2021/12","현대위아","011210","STK","79900","83200","73700","2.234264","7.887787",,,"0.000094454","210248.9575","4.545455","4387180","199417","344458143300","15657188332"
"2021/12","한국카본","017960","STK","10750","11150","9700","1.782943","0.045709",,,"0.000422657","295879.8732","9.090909","7415880","337085","78148866430","3552221201"
"2021/12","LG디스플레이","034220","STK","24600","24600","19900","2.506345","-0.218146",,,"0.000023743","2889041.4949","4.545455","91628076","4164913","2071484448650","94158384030"
"2021/12","동양고속","084670","STK","17250","18350","17100","1.294457","2.428156",,,"0.0157646","5873.9805","13.636364","78623","3574","1378877900","62676268"
"2021/12","대성산업","128820","STK","4560","5030","3995","3.863281","3.280613",,,"0.002044461","514975.4063","4.545455","26085756","1185716","125425271920","5701148724"
"2021/12","아세아시멘트","183190","STK","122000","129500","115500","1.940355","0.403321",,,"0.001001248","10111.1249","9.090909","287154","13052","35296258500","1604375386"
"2021/12","효성첨단소재","298050","STK","596000","716000","590000","3.395351","2.539936",,,"0.000045129","85018.1763","0","1521509","69160","990912618000","45041482636"
"2021/12","KR모터스","000040","STK","865","893","860","1.389158","2.620619",,,"0.004608484","619978.951","0","4543491","206522","3966355471","180288885"
"2021/12","케이비아이동국실업","001620","STK","810","824","778","1.537407","0.093216",,,"0.006640846","295350.561","4.545455","4865175","221144","3868704076","175850185"
"2021/12","한솔테크닉스","004710","STK","7810","7810","5930","3.715953","3.27244",,,"0.000707786","1297993.0784","0","19667653","893984","149649809990","6802264090"
"2021/12","덕성","004830","STK","15100","17350","14700","2.865679","0.553452",,,"0.000289729","297397.7384","9.090909","13608296","618559","225720840750","10260038216"
"2021/12","동부건설우","005965","STK","40200","41000","29850","7.307188","11.26241",,,"0.01773145","2388.7492","0","173325","7878","6790640650","308665484"
"2021/12","SIMPAC","009160","STK","6410","7320","6400","3.535143","1.140143",,,"0.002137412","110267.11","4.545455","3754077","170640","25448634150","1156756098"
"2021/12","세우글로벌","013000","STK","1725","1880","1640","2.278138","-1.167586",,,"0.003643514","300313.3823","0","7364365","334744","12903153765","586506989"
"2021/12","덕양산업","024900","STK","3305","3350","3140","1.951191","3.069088",,,"0.002597681","169536.1738","13.636364","3419573","155435","11242642115","511029187"
"2021/12","두산에너빌리티","034020","STK","20400","22300","19850","2.159305","-0.599926",,,"0.000019022","3492153.5102","4.545455","95682099","4349186","1994362722150","90652851007"
"2021/12","대상홀딩스우","084695","STK","11700","13800","10150","5.656667","7.92029",,,"0.01127309","26447.9912","9.090909","2049128","93142","27378623400","1244482882"
"2021/12","이연제약","102460","STK","35550","41650","34350","2.756717","0.104815",,,"0.000287823","235894.9314","4.545455","6589235","299511","266121913050","12096450593"
