,종목명,과열횟수
262,한화생명,1.0
263,한화에어로스페이스,2.0
264,한화우,1.0
265,한화케미칼,1.0
266,한화투자증권우,1.0
267,현대모비스,1.0
268,현대엘리베이,1.0
269,현대위아,2.0
270,현대일렉트릭,4.0
271,현대중공업,1.0
272,현대차,1.0
273,현대코퍼레이션홀딩스,1.0
274,현대해상,1.0
275,형지엘리트,2.0
276,혜인,2.0
277,호텔신라,3.0
278,화인베스틸,1.0
279,효성,1.0
280,휠라코리아,1.0
281,휠라홀딩스,1.0
282,휴니드,1.0
283,흥국화재우,1.0
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
