회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),현금및현금성자산(*)(IFRS연결),금융비용(IFRS연결),부채(*)(IFRS연결),자본(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),비유동자산(*)(IFRS연결),이익잉여금(*)(연결),기타(영업)비용(*)(IFRS연결)
(주)CMG제약,058820,2017/12,41535588,109568153,2834901,3799004,0,11624134,97944019,1558607,16479429,28340823,-3397713,0
(주)ES큐브,050120,2017/12,35745794,105892131,1737925,24250014,0,33075251,72816880,2248520,7439335,54853973,24897261,0
(주)가비아,079940,2017/12,116217941,133382584,9669613,29957017,0,33486064,99896520,12712157,43192421,67269196,52864813,0
(주)강스템바이오텍,217730,2017/12,9132939,47198979,-11531949,3913815,0,22716816,24482163,-11737865,14996757,21952967,-35794122,0
(주)강원에너지,114190,2017/12,82034829,93179394,-6451819,14071336,0,44876384,48303010,-5588512,6453624,25110973,22544374,0
(주)고려시멘트,198440,2017/12,,,,,,,,,,,,
(주)고영테크놀러지,098460,2017/12,203368626,205207385,26734105,46011955,0,43890214,161317171,43748905,87720199,43850844,156696148,0
(주)골드앤에스,035290,2017/12,12802035,17173934,-7975875,2145751,0,3827858,13346076,-3694041,8493390,6342934,-24239177,0
(주)골드퍼시픽,038530,2017/12,,,,,,,,,,,,
(주)골프존,215000,2017/12,200105321,253672419,79392004,110551312,0,64290538,189381881,37457577,93611339,93080529,117259725,0
(주)골프존뉴딘홀딩스,121440,2017/12,213756902,756500949,-21585123,48015516,0,255588307,500912642,18422625,82355498,639152929,191687521,0
(주)광림,014200,2017/12,135191558,208058303,-23602051,31653363,0,100367615,107690687,-12369550,16400734,129882514,17585665,0
(주)광무,029480,2017/12,,,,,,,,,,,,
(주)구영테크,053270,2017/12,149833357,187009683,1357296,12868009,0,131198641,55811041,5691336,17042908,122869363,31280843,0
(주)국보디자인,066620,2017/12,270658405,164381715,13340935,26550428,0,65097890,99283826,23215727,22752386,28753213,89400678,0
(주)국순당,043650,2017/12,62761236,242199755,9687855,36104178,0,20660503,221539252,-4263332,28037773,155547847,164766785,0
(주)국영지앤엠,006050,2017/12,,,,,,,,,,,,
(주)그래디언트,035080,2017/12,3541486629,1804533355,-63634928,133905382,0,1062216374,742316982,29816493,355873725,574654791,175114840,0
(주)글로벌스탠다드테크놀로지,083450,2017/12,162835484,102400669,15756344,19097277,0,24125110,78275559,22260787,33806030,44484251,61247973,0
(주)금빛,045890,2017/12,72904350,109637027,-5395885,3953213,0,64779352,44857675,59125,18786670,55998208,600037,0
(주)금화피에스시,036190,2017/12,205781841,231639148,20153925,23281103,0,47411791,184227358,33863833,8842079,73557123,172263084,0
(주)기가레인,049080,2017/12,100131227,181628353,-920801,7394924,0,92959232,88669121,5232144,12183315,109285289,243055,0
(주)기산텔레콤,035460,2017/12,63467585,70137339,-5538516,15802190,0,35145065,34992274,-3230591,12327334,11784992,-19998188,0
(주)나노,187790,2017/12,73089292,91574665,89291,4796891,0,46672426,44902238,1661616,8706034,48752247,17422498,0
(주)나노신소재,121600,2017/12,45568866,88963512,6827889,6529309,0,6050113,82913399,8531076,12167525,27282199,40747153,0
(주)나노엔텍,039860,2017/12,23809593,42369896,-2072184,9764286,0,18638896,23731000,1672406,8712147,19733653,-3941595,0
(주)나무가,190510,2017/12,257564977,142414320,-40918809,18310609,0,111824687,30589633,-31479937,19183472,59128209,-25924783,0
(주)나스미디어,089600,2017/12,120275391,315966980,26676052,17298693,0,188197213,127769767,34298134,85977256,74659842,71709026,0
(주)나이벡,138610,2017/12,,,,,,,,,,,,
(주)나이스디앤비,130580,2017/12,42282947,46928148,6414092,9146609,0,8392053,38536096,8454239,33828708,18042837,26252284,0
(주)나인테크,267320,2017/12,,,,,,,,,,,,
(주)내츄럴엔도텍,168330,2017/12,9238808,85682820,-8860824,6451918,0,30963364,54719456,-5391216,8720020,43641860,8002630,0
(주)네오리진,094860,2017/12,9263380,17683620,166207,3308569,0,3137509,14546111,168664,4980565,9829634,-2204500,0
(주)네오오토,212560,2017/12,,,,,,,,,,,,
(주)네오위즈,095660,2017/12,174045348,304359379,-2143713,63637464,0,39611170,264748209,10872808,71234810,115565449,198456940,0
(주)네오위즈홀딩스,042420,2017/12,184864190,524777876,-6798711,71817101,0,48395657,476382219,10628248,75778197,189114329,202404906,0
(주)네오티스,085910,2017/12,43473210,81029245,-7249334,6713312,0,34949154,46080092,3266173,5924233,49441999,8051798,0
(주)네오팜,092730,2017/12,53633507,56694807,11559211,4244305,0,9112893,47581915,14037876,26105255,12647398,33278784,0
(주)네이블커뮤니케이션즈,153460,2017/12,,,,,,,,,,,,
(주)네이처셀,007390,2017/12,,,,,,,,,,,,
(주)네패스,033640,2017/12,285034101,308121193,3941829,47967806,0,187246466,120874727,19305346,42798576,203970139,44564954,0
(주)넥스턴바이오사이언스,089140,2017/12,,,,,,,,,,,,
(주)넥스트아이,137940,2017/12,59482937,138956473,-2700789,29138527,0,63670643,75285830,1290427,17712896,51049868,26902953,0
(주)넥스트엔터테인먼트월드,160550,2017/12,94538544,256463072,-7461325,37639601,0,125719615,130743457,-5157021,26108291,104032145,27731083,0
(주)넥슨게임즈,225570,2017/12,,,,,,,,,,,,
