회사명,거래소코드,회계년도,[제조]유동부채비율(IFRS),[제조]매출액순이익률(IFRS),[제조]총자본증가율(IFRS),[제조]순이익증가율(IFRS),[제조]CASH FLOW 대 매출액비율(IFRS),[제조]CASH FLOW 대 부채비율(IFRS),[제조]차입금의존도(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]금융비용 대 총비용비율(IFRS),[제조]설비투자효율(IFRS),[제조]CASH FLOW 대 총자본비율(IFRS),[제조]자본금회전률(IFRS),[제조]총자본투자효율(IFRS),[제조]총자본회전률(IFRS),[제조]유동자산증가율(IFRS),[제조]매출액증가율(IFRS),[제조]매출액총이익률(IFRS),[제조]자기자본순이익률(IFRS),[제조]매출채권회전률(IFRS),[제조]재고자산회전률(IFRS),[제조]유형자산회전율(IFRS),[제조]매출원가 대 매출액비율(IFRS),[제조]부채비율(IFRS),[제조]유동비율(IFRS),[제조]자기자본배율(IFRS),[제조]당좌비율(IFRS),[제조]순운전자본비율(IFRS),[제조]현금비율(IFRS),[제조]타인자본회전률(IFRS),[제조]정상영업이익증가율(IFRS),[제조]총자본순이익률(IFRS)
(주)CMG제약,058820,2017/12,11.11,6.83,-1.27,67.4,6.34,22.67,0,999999999,-2.82,84.87,2.4,0.76,12.51,0.38,3.12,25.98,43.43,2.85,3.01,5.81,2.51,56.57,11.87,746.28,179.9,673.66,64.2,34.9,3.86,-9.95,2.57
(주)ES큐브,050120,2017/12,5.72,3.29,0.37,-93.02,10.41,11.55,27.28,2.76,0.76,59.63,3.68,1.19,4.27,0.35,3.16,6.57,17.81,1.73,14.35,89.52,6.09,82.19,46.85,1095.59,171.54,1085.6,38.79,529.21,1.09,-8.03,1.16
(주)가비아,079940,2017/12,36.35,4.76,6.25,-29.64,17.2,51.98,8.46,27.12,-0.23,104.04,13.86,7.74,35.1,0.83,23.53,5.94,41.64,5.36,20.11,0,2.34,58.36,36.35,87.26,704.26,87.26,-3.4,57.66,3.17,-20.23,3.95
(주)강스템바이오텍,217730,2017/12,16.22,-201.25,-6.18,0,-167.44,-45.52,28.31,-7.93,5.33,-41.21,-20.29,0.71,-4.77,0.12,-35.95,540.04,55.46,-45.57,31.39,4.67,0.65,44.54,80.43,607.77,303.58,564.65,45.64,82.11,0.24,0,-23.61
(주)강원에너지,114190,2017/12,77.85,-7.57,23.9,0,-13.98,-28.57,3.21,-89.84,-0.2,7.76,-13.23,10.9,0.81,1.05,33.43,86.99,1.04,-12.47,2.3,238.62,8.87,98.96,86.31,181.45,617.81,180.46,34.03,37.01,2.88,0,-7.93
(주)고려시멘트,198440,2017/12,29.88,1.15,0,0,3.61,8.22,8.83,16.79,-0.15,31.72,2.73,28.76,12.85,0.76,0,0,13.33,1.3,2.96,26.32,1.83,86.67,49.73,166.67,2539.18,152.27,13.3,2.92,2.28,0,0.87
(주)고영테크놀러지,098460,2017/12,18.01,15.3,5.85,3.01,6.74,31.14,0,999999999,-0.22,241.77,6.19,27.63,28.4,0.94,2.14,23.28,61.02,17.93,2.09,14.91,7.93,38.98,24.79,536.83,2408.84,493.89,63.05,60.72,4.87,46.63,14.45
(주)골드앤에스,035290,2017/12,24.88,-62.98,-7.11,0,2.84,9.34,9.12,-27.46,0.3,-3785.71,2.14,1.21,-24.92,0.73,28.32,-19.45,35.79,-59.27,4.12,8.49,48.25,64.21,29.68,336.56,118.2,304.13,45.39,65.69,3.17,0,-45.69
(주)골드퍼시픽,038530,2017/12,386.77,-19.18,138.88,0,-73.82,-17.52,64.77,0.62,22.94,101.29,-13.98,0.31,4.95,0.27,216.54,-47.52,60.47,-26.61,3.44,16.75,3.83,39.53,395.26,82.97,161.2,80.35,-13.3,25.64,0.33,0,-5.12
(주)골프존,215000,2017/12,25.29,43.96,34.55,110.35,32.63,97.33,13.6,47.32,-0.54,110.46,23.46,54.77,30.01,0.82,88.27,-12.7,64.09,50.82,12.57,16.14,2.52,35.91,31.76,311.08,5781.13,288.79,40.51,214.42,2.88,-23.73,36.26
(주)골프존뉴딘홀딩스,121440,2017/12,7.78,-92.68,-4.56,0,9.51,3.98,9.19,-4.92,-4.34,-6.88,0.42,1.1,-1.18,0.04,-25.52,-15.02,97.1,-4.41,12.94,0,0.25,2.9,11.7,125.76,2241.41,125.76,1.79,71.17,0.42,0,-3.97
(주)광림,014200,2017/12,92.24,86.7,143.02,19608.62,6.01,3.09,11.3,1.64,0.1,464.03,1.62,4.1,32.95,0.38,396.51,13.88,15.38,64.62,16.44,5.3,3.83,84.62,109.33,157.04,728.09,147.15,25.13,5.44,0.78,1241.39,33.05
(주)광무,029480,2017/12,100.03,-15.56,-0.48,0,0.93,1.31,14.42,0.32,2.12,56.08,0.69,1.58,15.02,0.74,25.69,-18.5,18.74,-31.04,4,47.72,2.73,81.26,113.62,110.28,84.96,108.89,4.82,7.17,1.18,-84.58,-11.55
(주)구영테크,053270,2017/12,119.77,1.67,28.18,-68.39,10.57,8.49,45.96,2.56,1.03,58.78,5.63,7.51,13.86,0.6,32.06,-1.36,16.91,2.65,5.33,9.42,1.58,83.09,196.34,92.31,475.92,78.06,-3.11,19.22,0.96,-26.47,1
(주)국보디자인,066620,2017/12,64.05,5.39,4.96,18.85,6.89,28.29,0,3662.13,-0.48,1015.07,11.42,70.01,46.45,1.7,7.56,37,16.49,16.2,390.41,0,35.8,83.51,67.74,211.01,2516.81,211.01,42.38,42.46,3.9,79.7,9.15
(주)국순당,043650,2017/12,5.55,16.39,4.38,0,17.09,60.1,0,999999999,-28.66,20.1,4.92,6.73,4.75,0.29,5.06,-12.19,38.53,5.25,7.32,5.7,1.14,61.47,8.91,709.77,2147.41,614.56,31.08,287.17,3.54,0,4.82
(주)국영지앤엠,006050,2017/12,21.36,2.28,0.65,271.36,-2.43,-11.33,4.16,17.57,-0.06,30.51,-2.31,3.64,14.66,0.95,1.42,22.16,5.03,2.78,16.26,17.33,1.98,94.97,25.64,266.88,301.54,238.44,28.37,64.83,4.4,466.79,2.17
(주)그래디언트,035080,2017/12,3.05,-438.55,-14.97,0,21.07,17.19,2.83,26.15,-1.69,-12525.97,0.76,0.41,-14.43,0.03,710.36,-24.41,0,-15.25,0,0,33.88,0,4.66,31.92,1080.57,31.92,-1.99,0.06,0.82,-43.79,-14.63
(주)글로벌스탠다드테크놀로지,083450,2017/12,28.9,8.49,13.42,249.51,4.99,35.6,2.25,358.76,-0.03,181.62,8.68,33.22,54.84,1.85,0.19,89.06,30.88,21.82,10.49,8.29,6.07,69.12,32.24,240.54,1444.09,148.05,30.71,74.29,6.58,700.85,15.69
(주)금빛,045890,2017/12,85.07,-2.94,3.34,0,5.98,5.93,39.03,-1.45,-7.15,26.16,3.43,5.03,8.98,0.58,19.04,-2.16,21.46,-3.81,2.43,5.1,1.65,78.54,136.98,137.74,367.42,101.28,13.55,9.19,1.06,0,-1.72
(주)금화피에스시,036190,2017/12,21.88,11.86,9.46,-5.89,21.67,94.94,0,999999999,-1.92,591.3,17.54,58.33,48.29,0.85,11.75,-13.18,22.57,12.34,5.62,0,9.59,77.43,22.66,366.03,5876.8,366.03,47.45,53.25,4.52,17.32,10.03
(주)기가레인,049080,2017/12,84.8,-0.45,17.76,0,-3.99,-3.95,37.06,1.84,2.5,29.13,-2,5.42,10.06,0.54,60.73,27.67,16.38,-0.55,5.31,6.37,1.35,83.62,101.92,91.59,366.35,61.82,-3.53,8.3,0.96,0,-0.24
(주)기산텔레콤,035460,2017/12,19.71,-7.05,-5.44,0,1.64,5.3,2.69,-15.43,-1.13,25.29,1.09,4.06,0.21,0.65,-6.03,19.81,20.66,-5.72,6.7,4.81,82.88,79.34,25.72,419.1,486.21,305.63,50.02,178.49,3.14,0,-4.55
(주)나노,187790,2017/12,48.09,-9.45,3.14,0,-1.16,-1.58,30.9,1.5,2.7,23.48,-0.59,8.74,7.12,0.51,31.33,62.04,17.86,-8.83,7.36,4.18,1.54,82.14,59.79,134.71,942.64,96.91,10.44,19.83,1.14,0,-4.86
(주)나노신소재,121600,2017/12,4.72,14.91,5.61,14.12,18.56,139.92,1.51,114.29,-0.03,113.83,9.5,8.4,23.43,0.53,-1.22,10.84,45.42,8.46,4.36,1.5,2.37,54.58,7.29,1569.87,1529.6,779.02,64.66,161.46,7.18,34.81,7.84
(주)나노엔텍,039860,2017/12,61.3,-3.61,-5.01,0,5.93,7.06,27.62,5.95,1.96,58.73,2.89,1.81,18.07,0.47,6.9,11.06,42.62,-2.94,2.2,3.98,1.5,57.38,69.48,156.3,218.96,121.37,20.36,57.76,1.14,0,-1.72
(주)나무가,190510,2017/12,155.56,-25.73,-35.67,0,-4.01,-14.84,5.82,-114.1,0,-984.8,-9.19,89.18,-51.92,1.8,-38.05,-10.67,2.32,-87.69,4.74,278.4,37.83,97.68,162.73,123.2,1473.02,122.55,13.73,7.37,3.79,0,-46.19
(주)나스미디어,089600,2017/12,103.99,24.01,24.58,75.98,14.84,10.11,0,999999999,-0.83,457.53,5.22,18.49,20.41,0.39,37.92,36.49,0,18.91,3.4,0,7.71,0,106.79,142.87,2541.63,142.87,21.56,5.37,0.77,75.53,9.37
(주)나이벡,138610,2017/12,46.03,-40.74,12.11,0,1.52,0.71,36.47,-1.81,6.84,16.91,0.37,2.2,6.46,0.26,13.07,31.19,31.03,-23.13,3.64,3.04,0.66,68.97,108.31,175.61,411.34,133.25,16.71,92.73,0.48,0,-10.54
(주)나이스디앤비,130580,2017/12,20.26,15.35,15.17,14.25,16.16,70.62,0,999999999,-2.92,2664.58,12.14,4.2,48.17,0.8,-9.11,34.59,100,14.62,13.11,0,47.73,0,20.77,325.29,462.49,325.29,37.8,69.52,5.17,39.81,12.35
(주)나인테크,267320,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)내츄럴엔도텍,168330,2017/12,11.42,-104.4,-10.36,0,-138.97,-42.45,33.81,-1.94,12.94,-2.23,-16.89,0.93,-0.89,0.11,-25.4,40.92,36.03,-20.97,6.4,1.18,0.3,63.97,66.09,704.18,452.38,525.36,41.55,100.92,0.27,0,-12
(주)네오리진,094860,2017/12,15.04,2.42,13.69,-67.55,9.14,26.38,3.54,3.26,0.23,912.75,4.66,1.96,29.09,0.54,13.92,-15.23,55.39,1.66,3.04,10.6,17.47,44.61,21.43,341.28,306.42,301.87,29.89,148.46,2.61,-72.63,1.31
(주)네오오토,212560,2017/12,50.22,3.22,1.67,-47.54,13.47,26.74,33.97,1.7,0.67,33.92,12.6,39.09,21.82,0.94,7.3,-8.75,6.67,5.84,11.05,17.64,1.35,93.33,89.09,102.3,1841.52,80.85,0.61,27.08,1.97,-84.02,3.04
(주)네오위즈,095660,2017/12,7.72,-24.21,-6.96,0,20.29,77.49,0,602.06,-1.73,-1075.41,6.05,9.75,-2.72,0.29,-3.99,-9.18,55,-7.55,11.27,0,139.46,45,8.48,549.83,3012.57,549.83,32.01,75.82,3.73,-51.96,-6.96
(주)네오위즈홀딩스,042420,2017/12,0.03,-1856.1,-4.51,0,-1164.07,-285.72,0,999999999,-20.92,-232568.46,-2.05,0.12,-3.77,0,2.95,1.54,0,-3.22,3.89,10.24,43.48,0,0.72,133573.05,6694.41,133518.61,41.27,6104.03,0.2,0,-3.19
(주)네오티스,085910,2017/12,58.99,-16.72,-3.33,0,9.38,12.57,20.98,6.29,0.1,23.91,5.19,7.89,8.24,0.54,-4.66,8.24,18.01,-14.22,3.26,10.76,1.59,81.99,70.38,113.59,837.18,99.69,4.71,24.68,1.51,17.58,-9.1
(주)네오팜,092730,2017/12,18.49,22.69,22.97,48.37,19.52,114.86,0.11,999999999,-1.07,274.87,18.09,14.36,40.25,1.02,32.25,26.73,74.93,27.7,9.11,12.24,6.1,25.07,18.69,488.34,1304.98,435.28,60.51,46.73,6.29,45.81,23.2
(주)네이블커뮤니케이션즈,153460,2017/12,15.66,-47.02,-18.84,0,-3.57,-11.5,0,999999999,-1.28,88.39,-1.56,4.13,20.02,0.39,-22.77,-37.6,39.6,-21.21,3.73,13.13,1.86,60.4,15.66,530.53,817.93,496.82,58.28,260.15,2.93,0,-18.38
(주)네이처셀,007390,2017/12,24.46,-1.69,-2.33,0,2.45,5.58,7.99,-0.81,1.06,66.03,1.3,1.05,14.26,0.52,15.66,1.6,28.01,-1.25,8.62,5.24,2.48,71.99,30.29,211.86,149.46,162.93,21,93.66,1.78,0,-0.89
(주)네패스,033640,2017/12,59.78,2.41,6.15,-8.43,20.9,35.62,34.69,5.59,1.24,65.93,18.68,23.68,31.17,0.92,8.82,17.03,22.86,4.65,8.93,36.98,1.91,77.14,110.34,106.57,1255.15,98.17,1.87,47.95,1.76,77.64,2.21
(주)넥스턴바이오사이언스,089140,2017/12,3.08,15.51,-3.84,-60.52,23.27,340.39,0,1532.55,-2.25,122.72,10.73,7.38,11.76,0.45,-11.69,-41.23,31.01,7.46,4.99,6.83,4.97,68.99,3.26,2781.54,1549.23,2581.81,80.02,1444.37,7.52,-47.77,7.01
(주)넥스트아이,137940,2017/12,23.11,-9.73,34.12,0,6.27,3.47,37.66,-0.76,2.54,53.32,1.47,3.98,4.61,0.27,6.85,15.87,27,-4.15,6.03,19.86,2.61,73,73.17,285.66,922.95,277.79,24.77,70.48,0.72,0,-2.61
(주)넥스트엔터테인먼트월드,160550,2017/12,48.59,-7.18,2.33,0,-16.75,-10.06,19.35,-8.17,-5.94,-1.23,-4.28,4.16,-0.26,0.26,-19.94,-45.16,12.33,-3.14,2.23,6284.85,1.19,87.67,74.06,178.89,935.33,178.86,22.02,31.4,0.63,0,-1.86
(주)넥슨게임즈,225570,2017/12,18.01,-13.72,0,0,40.34,67.06,2.04,-62.24,-1.03,1705.5,21.03,1.95,39.81,0.52,0,0,0,-10.42,10.04,0,22.33,0,45.69,672.39,256.35,672.39,70.75,611.01,1.66,0,-7.15
(주)넵튠,217270,2017/12,1.39,544.21,140.53,0,-0.03,-0.02,0.57,-52.89,-1.04,14981.56,0,0.78,54.19,0.1,35.02,-3.17,0,57.67,6.35,0,19.9,0,14.53,777.51,968.1,777.51,8.25,218.74,0.93,0,51.8
(주)노블엠앤비,106520,2017/12,67.38,-51.45,4.53,0,-14.15,-17.51,29.53,-4.65,3.06,-47.46,-8.02,4.03,-12.06,0.58,19.35,6.19,-7.1,-53.45,5.83,7.24,2.15,107.1,84.49,72.87,309.01,51.72,-9.91,8.38,1.31,0,-29.81
(주)녹십자셀,031390,2017/12,41.3,3.67,173.07,-46.16,28.08,7.59,50.69,17.72,0.06,83.69,4.56,3.34,8.53,0.24,371.05,64.06,47.34,1.6,7.4,19.31,0.72,52.66,150.02,333.42,823.52,326.62,38.56,2.43,0.52,89.92,0.87
(주)녹십자엠에스,142280,2017/12,98.97,-2.91,-4.47,0,6.75,21.01,17.34,1.44,0.38,111.55,11.49,20.52,15.94,1.66,-0.79,13.86,15.31,-10.26,4.13,8.24,10.87,84.69,120.83,151.08,545.9,107.41,22.89,12.74,3.15,0,-4.83
(주)녹원씨엔아이,065560,2017/12,80.76,-167.89,569.68,0,-40.51,-5.28,43.92,-1.09,24.84,-6519.58,-2.36,0.46,-4.23,0.1,142.12,12.16,20.26,-28.57,3.66,18.47,49.93,79.74,80.76,27.68,780.75,27.31,-32.31,4.38,0.25,0,-17.01
(주)누리플랜,069140,2017/12,81.53,0.08,9.59,-98.8,-2.26,-4.36,13.82,1.74,0.62,34.81,-2.02,14.89,11.1,0.93,19.07,0.48,20.06,0.14,4.53,36.92,2.77,79.94,85.97,124.04,877.85,120,10.54,29.19,2.04,-33.54,0.08
