회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),현금및현금성자산(*)(IFRS),금융비용(IFRS),부채(*)(IFRS),자본(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),비유동자산(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS),기타(영업)비용(*)(IFRS),이익잉여금(결손금)(*)(IFRS)
(주)CMG제약,058820,2017/12,41535588,109568153,2834901,3799004,0,11624134,97944019,16479429,28340823,1558607,0,-3397713
(주)ES큐브,050120,2017/12,37104908,104850192,1218923,21621666,0,33451725,71398467,4437550,60088244,2170102,0,22258442
(주)가비아,079940,2017/12,52365659,64986436,2493743,9988273,0,17323452,47662984,18627531,49869858,3176328,0,40739522
(주)강스템바이오텍,217730,2017/12,5394323,44508729,-10855842,3285357,0,19840601,24668128,14124268,20192112,-11132505,0,-35262098
(주)강원에너지,114190,2017/12,83113029,87781416,-6291307,13574774,0,40664397,47117020,6286226,21223628,-5421114,0,23551834
(주)고려시멘트,198440,2017/12,87660276,115881620,1003761,674614,0,38487512,77394108,8668053,77338671,3017621,0,32693982
(주)고영테크놀러지,098460,2017/12,188934907,205696350,28907302,18027153,0,40860118,164836232,69782520,46321728,45513084,0,159349576
(주)골드앤에스,035290,2017/12,12802035,16994788,-8062623,2141862,0,3890051,13104737,8271390,6020494,-3690116,0,-24499000
(주)골드퍼시픽,038530,2017/12,5031439,26567967,-965087,5318902,0,21203473,5364494,2104961,9352807,937598,0,-30966595
(주)골프존,215000,2017/12,171859065,239011847,75544308,98346752,0,57616911,181394935,76621692,96325807,33528808,0,109594649
(주)골프존뉴딘홀딩스,121440,2017/12,23499543,536244772,-21778628,26578242,0,56170310,480074463,29642657,489283419,-6824300,0,169570716
(주)광림,014200,2017/12,99421336,369582323,86196134,8861213,0,193026086,176556237,12986902,113830343,2304157,0,115119914
(주)광무,029480,2017/12,21540953,28950503,-3352682,971317,0,15398329,13552175,3838245,14000561,199525,0,-7683685
(주)구영테크,053270,2017/12,74298129,139584386,1239184,10845242,0,92481970,47102417,9537064,87506933,3025353,0,22413687
(주)국보디자인,066620,2017/12,262522024,158317679,14149734,25665626,0,63937167,94380512,19289550,30768469,23990595,0,83684804
(주)국순당,043650,2017/12,60087461,208832133,9847390,30565158,0,17086381,191745752,26733827,133287777,-3584872,0,158825549
(주)국영지앤엠,006050,2017/12,62861661,66101002,1431624,7287033,0,13489458,52611544,1753168,36105608,1410362,0,20706257
(주)그래디언트,035080,2017/12,12485184,344022749,-54754214,6026,0,15302824,328719925,6451844,340821440,6033339,0,208452749
(주)글로벌스탠다드테크놀로지,083450,2017/12,154761834,88966307,13135277,14444834,0,21687828,67278478,28665314,42199598,19126708,0,54294204
(주)금빛,045890,2017/12,65805697,114739264,-1937960,3784020,0,66322861,48416403,17100672,58006296,-2981646,0,5691453
(주)금화피에스시,036190,2017/12,174993150,216252318,20754033,20535992,0,39948467,176303850,6369768,75084138,33131391,0,166370082
(주)기가레인,049080,2017/12,89874499,179756049,-401780,6264828,0,90732165,89023884,10018833,110616893,4705145,0,1944617
(주)기산텔레콤,035460,2017/12,29568090,44554117,-2085390,12520760,0,9115826,35438291,6956781,15286022,-848554,0,-16533628
(주)나노,187790,2017/12,29944292,59149648,-2829878,3530412,0,22132488,37017160,3820811,35170344,1526011,0,16630721
(주)나노신소재,121600,2017/12,45568866,89013566,6795716,6322509,0,6045760,82967807,12191875,27539054,8506727,0,40820755
(주)나노엔텍,039860,2017/12,22133358,45400592,-799389,9485295,0,18612486,26788106,6489156,19733653,2944761,0,-1041123
(주)나무가,190510,2017/12,169353908,73845257,-43568385,3223533,0,45737923,28107335,26625622,19979737,-22688891,0,-28311724
(주)나스미디어,089600,2017/12,84283178,239540352,20237979,6470140,0,123700629,115839722,58628969,67445184,25654209,0,67966467
(주)나이벡,138610,2017/12,6302575,25750373,-2567612,5276939,0,13388514,12361859,3084729,15756909,-1128739,0,-18818701
(주)나이스디앤비,130580,2017/12,32327045,43008000,4960968,5016798,0,7395916,35612084,25682989,19533064,6644056,0,23434155
(주)나인테크,267320,2017/12,,,,,,,,,,,,
(주)내츄럴엔도텍,168330,2017/12,9238808,76003964,-9645005,5274410,0,30243201,45760762,8666764,39200338,-5337960,0,6128297
(주)네오리진,094860,2017/12,9032026,17731465,218915,3260838,0,3129815,14601651,4781254,10235390,221865,0,-2151792
(주)네오오토,212560,2017/12,128249343,137106556,4135626,9861131,0,64596982,72509574,6942039,99851763,1606020,0,56034757
(주)네오위즈,095660,2017/12,106849588,358084232,-25872555,19323842,0,27981880,330102352,48579690,217960620,10186878,0,220074053
(주)네오위즈홀딩스,042420,2017/12,551698,313767777,-10240089,5921461,0,2247712,311520065,811852,184189896,-260154,0,156662600
(주)네오티스,085910,2017/12,43473210,78550459,-7269754,6711597,0,32448216,46102243,5434005,47657489,2393447,0,7645484
(주)네오팜,092730,2017/12,53553213,57785337,12152804,4207744,0,9101395,48683943,25495112,13817733,14632436,0,34320645
(주)네이블커뮤니케이션즈,153460,2017/12,13473262,30886559,-6335770,10876634,0,4180943,26705616,11816583,8705282,-6481007,0,7322008
