회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),금융비용(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),[제조]총자본순이익률(IFRS연결),[제조]정상영업이익증가율(IFRS연결),[제조]* (정상)영업손익(보고서기재)(IFRS연결),[제조]판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),[제조]   비유동자산(*)(IFRS연결)
(주)고려시멘트,198440,2014/12,,,,,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,,,,,,
(주)고바이오랩,348150,2019/12,576519,35321574,-44066665,1278462,0,88945439,-53623865,,,-7351899,7639760,666370
(주)고영테크놀러지,098460,2011/12,86130810,87006201,15634438,6380037,0,17383474,69622726,19.83,-8.15,18820907,31057560,23702023
(주)고영테크놀러지,098460,2012/12,107841666,103351965,15221925,7690194,0,19950870,83401095,15.99,13.93,21443286,40048530,25494391
(주)고영테크놀러지,098460,2013/12,111902729,120951617,13933294,14728919,0,22632008,98319609,12.42,-21.78,16773438,45151797,26055617
(주)고영테크놀러지,098460,2014/12,142840131,141720465,22111066,19839993,0,25885224,115835240,16.84,67.86,28155311,54422413,33070591
(주)고영테크놀러지,098460,2015/12,145904431,158857627,23530903,26590403,0,27381980,131475647,15.66,-16.71,23449593,65558661,37022987
(주)고영테크놀러지,098460,2016/12,171793841,195121241,29723733,46315100,0,37853661,157267580,16.79,41.51,33184488,74753217,40229377
(주)고영테크놀러지,098460,2017/12,203368626,205207385,26734105,46011955,0,43890214,161317171,13.36,31.84,43748905,87720199,43850844
(주)고영테크놀러지,098460,2018/12,238208865,279059436,42309672,23211456,0,53192797,225866639,17.47,5.11,45983316,102888841,51495698
(주)고영테크놀러지,098460,2019/12,222057035,305481184,29559680,27196310,0,61812656,243668528,10.11,-27.51,33331312,107860718,79683935
(주)골드앤에스,035290,2011/12,47522791,46677146,1002287,146739,0,24240316,22436829,2.19,0,1295340,13406161,23200104
(주)골드앤에스,035290,2012/12,43889087,51950606,-6467495,3115314,0,26432789,25517817,-13.11,0,-2330876,15207506,25289350
(주)골드앤에스,035290,2013/12,39548810,51442505,-16837473,179423,0,38315150,13127355,-32.57,0,-6493110,17913933,35649528
(주)골드앤에스,035290,2014/12,31287203,46528474,-9319175,344315,0,34445853,12082621,-19.02,0,-3079598,10913085,31456254
(주)골드앤에스,035290,2015/12,22197935,24102094,-9502547,528314,0,8941840,15160254,-26.91,0,1143768,5854717,8737973
(주)골드앤에스,035290,2016/12,15893494,18671644,390367,484456,0,4403117,14268527,1.83,-64.85,402070,6143671,10010975
(주)골드앤에스,035290,2017/12,12802035,17173934,-7975875,2145751,0,3827858,13346076,-44.5,-1018.76,-3694041,8493390,6342934
(주)골드앤에스,035290,2018/12,8680452,42472631,-4380399,15251655,0,28693062,13779569,-14.69,0,-4667030,8941725,21441261
(주)골드앤에스,035290,2019/12,7642733,16096170,-24883278,758085,0,21187743,-5091573,-84.97,0,-7142117,8491730,12185981
(주)골드퍼시픽,038530,2011/12,,,,,,,,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,,,,,,,,
(주)골드퍼시픽,038530,2013/12,7167832,33687572,-9381353,88951,0,17496573,16190999,-27.85,0,-6137582,5063021,16978759
(주)골드퍼시픽,038530,2014/12,16486257,41948832,-7390326,111840,0,25380917,16567915,-17.62,0,-5819314,4348050,18053863
(주)골드퍼시픽,038530,2015/12,18635305,28573328,-10215946,2952368,0,7380179,21193149,-28.97,0,-8243124,7198088,14268465
(주)골드퍼시픽,038530,2016/12,,,,,,,,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,,,,,,,,
(주)골드퍼시픽,038530,2018/12,5708281,37825442,-4471963,12573791,0,17738744,20086698,-11.82,0,-904003,5203460,13835056
(주)골드퍼시픽,038530,2019/12,,,,,,,,,,,,
(주)골프존,215000,2015/12,201560389,178132253,36533155,54542672,0,69278343,108853909,,,49582444,71355052,96836480
(주)골프존,215000,2016/12,216964342,187914226,36536248,31360784,0,67265600,120648626,19.44,0,45442469,84093965,98132493
(주)골프존,215000,2017/12,200105321,253672419,79392004,110551312,0,64290538,189381881,35.96,-17.57,37457577,93611339,93080529
(주)골프존,215000,2018/12,198705194,254057808,20419449,59128242,0,59138246,194919561,8.04,-24.82,28160266,92963990,108792454
(주)골프존,215000,2019/12,247018099,312587283,16213888,15998293,0,112544404,200042879,5.72,14.69,32297494,120861039,230856814
(주)골프존뉴딘홀딩스,121440,2011/12,215793737,378054302,46487063,53605879,0,29085545,348968757,16.42,-17.18,54442032,61499627,101777105
(주)골프존뉴딘홀딩스,121440,2012/12,289629366,540922890,73354594,68545458,0,129285917,411636973,15.96,26.75,69002648,89002498,273610703
(주)골프존뉴딘홀딩스,121440,2013/12,365126358,637840057,2803470,67806524,0,213296141,424543916,0.48,16.65,80489158,97656135,357612056
(주)골프존뉴딘홀딩스,121440,2014/12,429589619,762037240,79234486,56762183,0,275651284,486385956,11.32,27.21,102393717,107831868,585292642
(주)골프존뉴딘홀딩스,121440,2015/12,164536448,767325175,871101274,48461937,0,215964752,551360423,113.92,0,-9349582,64804972,670172970
(주)골프존뉴딘홀딩스,121440,2016/12,243275475,760772930,2876449,33048169,0,232685516,528087415,0.38,0,37005985,80068007,658458580
(주)골프존뉴딘홀딩스,121440,2017/12,213756902,756500949,-21585123,48015516,0,255588307,500912642,-2.85,-50.22,18422625,82355498,639152929
(주)골프존뉴딘홀딩스,121440,2018/12,223036801,774743339,-7527390,15853938,0,288773468,485969871,-0.98,-93.95,1114231,92720103,674774424
(주)골프존뉴딘홀딩스,121440,2019/12,228935651,776384700,-34848135,33530564,0,329187192,447197508,-4.49,-425.38,-3625436,91951161,650668195
(주)공구우먼,366030,2017/12,,,,,,,,,,,,
(주)공구우먼,366030,2018/12,,,,,,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,,,,,,
(주)광림,014200,2011/12,,,,,,,,,,,,
(주)광림,014200,2012/12,,,,,,,,,,,,
(주)광림,014200,2013/12,,,,,,,,,,,,
(주)광림,014200,2014/12,231446314,244886480,-237860,20288178,0,115915632,128970849,-0.1,0,2185491,53809936,94924671
(주)광림,014200,2015/12,,,,,,,,,,,,
(주)광림,014200,2016/12,87302967,229596737,-1896521,29041469,0,116090771,113505965,-0.83,0,171774,12128894,141483272
(주)광림,014200,2017/12,135191558,208058303,-23602051,31653363,0,100367615,107690687,-10.79,-7301.04,-12369550,16400734,129882514
(주)광림,014200,2018/12,136595300,187812629,-28445678,16397338,0,97737400,90075229,-14.37,0,-1044494,15103531,112487224
(주)광림,014200,2019/12,145864184,252468254,-14006972,17865642,0,161696117,90772137,-6.36,0,-10983157,21882738,137941785
(주)광무,029480,2011/12,51755052,75946478,-50127229,6140429,0,38114862,37831616,-66,0,-13535610,19087540,38368387
(주)광무,029480,2012/12,41178683,55788602,-10689029,627277,0,26281385,29507217,-19.16,0,-5776949,13198130,32009671
(주)광무,029480,2013/12,20534276,35384615,-28721377,530704,0,26597916,8786699,-63,0,-13904969,11817507,21070560
(주)광무,029480,2014/12,,,,,,,,,,,,
(주)광무,029480,2015/12,,,,,,,,,,,,
(주)광무,029480,2016/12,,,,,,,,,,,,
(주)광무,029480,2017/12,,,,,,,,,,,,
(주)광무,029480,2018/12,23074941,28431748,-5120760,2221412,0,17702532,10729216,-18.01,0,-1335245,6640352,11130278
(주)광무,029480,2019/12,36483979,63139837,-6421201,17184794,0,40295715,22844122,-14.02,0,-3012624,17625827,23832076
(주)구영테크,053270,2011/12,147832315,149471330,-647883,1861222,0,112838066,36633264,-0.44,-34.19,5159050,14387234,90628961
(주)구영테크,053270,2012/12,155788988,161163024,1633009,5204007,0,124476132,36686891,1.05,45.14,7488049,14034750,94816651
(주)구영테크,053270,2013/12,172747316,149230187,2179847,4116936,0,110206350,39023837,1.4,0.06,7492265,14770015,95535959
(주)구영테크,053270,2014/12,170528694,155857242,2236588,3836784,0,103644323,52212920,1.47,-27.42,5438229,17032666,98741647
(주)구영테크,053270,2015/12,172083049,161330950,4158785,8693067,0,104929726,56401223,2.62,13,6145428,19298586,102494047
(주)구영테크,053270,2016/12,148301597,166748490,2542450,8429682,0,108968199,57780291,1.55,-29.42,4337719,18182773,112608599
(주)구영테크,053270,2017/12,149833357,187009683,1357296,12868009,0,131198641,55811041,0.77,31.21,5691336,17042908,122869363
(주)구영테크,053270,2018/12,195238339,202572970,5920905,4563937,0,133745074,68827896,3.04,-5.49,5378869,16880656,141828672
(주)구영테크,053270,2019/12,230853336,206569873,3387486,6189218,0,134865616,71704257,1.66,-2.6,5239175,16946995,136404800
(주)국보디자인,066620,2011/12,130689686,80200900,6055732,5281816,0,32057338,48143562,7.63,21.2,8573206,11769982,20745697
(주)국보디자인,066620,2012/12,119402993,92877548,8281324,13259781,0,35313021,57564527,9.57,22.49,10501258,8629461,18536067
(주)국보디자인,066620,2013/12,163518536,127902185,10935895,10572561,0,62304123,65598063,9.91,12.06,11767773,10222019,25030478
(주)국보디자인,066620,2014/12,176373907,132011877,10942079,8152883,0,57660989,74350888,8.42,13.42,13346472,12940774,25048629
(주)국보디자인,066620,2015/12,192608497,141089858,10768050,10481462,0,57782472,83307386,7.89,-4.17,12789435,12780158,33996540
(주)국보디자인,066620,2016/12,201410031,158452485,10738135,12617207,0,71523640,86928845,7.17,-17.77,10516456,14307502,29467391
(주)국보디자인,066620,2017/12,270658405,164381715,13340935,26550428,0,65097890,99283826,8.26,120.76,23215727,22752386,28753213
(주)국보디자인,066620,2018/12,254259835,175036784,13872876,16160182,0,66436346,108600438,8.17,-29.09,16463397,21087994,32690663
(주)국보디자인,066620,2019/12,269005976,222514980,15942956,15351377,0,99151096,123363884,8.02,-29.8,11557298,20685006,27696389
(주)국순당,043650,2011/12,127686247,199135153,5264054,48340287,0,21020767,178114387,2.64,0,5344491,49287226,116729398
(주)국순당,043650,2012/12,118697826,209729554,6185532,51514086,0,18103728,191625826,2.95,0,5650758,47556086,122329029
(주)국순당,043650,2013/12,99173525,218115221,5742772,53321435,0,23547445,194567775,2.68,-74.49,1441447,40558345,117569597
(주)국순당,043650,2014/12,91863604,217479839,3463226,37463095,0,20669149,196810690,1.59,-24.92,1082245,35092859,118188258
(주)국순당,043650,2015/12,77443124,216587928,-3529405,37751657,0,18420650,198167277,-1.63,0,-8197632,35623752,119366781
(주)국순당,043650,2016/12,69701266,213004831,-2760688,24730729,0,18986190,194018641,-1.29,0,-6487771,34162515,127743830
(주)국순당,043650,2017/12,62761236,242199755,9687855,36104178,0,20660503,221539252,4.26,0,-4263332,28037773,155547847
(주)국순당,043650,2018/12,61496072,238619493,-2977369,24841713,0,22939575,215679919,-1.24,0,-2994444,25740195,165712775
(주)국순당,043650,2019/12,102095769,252484287,-8269903,36376370,0,47525638,204958649,-3.37,0,-5966921,34397559,173649732
(주)국영지앤엠,006050,2011/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2012/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2013/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2014/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2015/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2016/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2017/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2018/12,,,,,,,,,,,,
(주)국영지앤엠,006050,2019/12,,,,,,,,,,,,
(주)국전약품,307750,2018/12,,,,,,,,,,,,
(주)국전약품,307750,2019/12,,,,,,,,,,,,
(주)그래디언트,035080,2011/12,428571939,777653618,-12292479,54613232,0,448781572,328872047,-1.87,0,-17906695,160491114,499319421
(주)그래디언트,035080,2012/12,454225001,739985481,12756395,42853941,0,343327081,396658401,1.68,0,14020875,141141684,499499448
(주)그래디언트,035080,2013/12,2930521926,1598503940,23780984,101729470,0,846564410,751939530,2.03,240.51,47742962,258881727,619416334
(주)그래디언트,035080,2014/12,3135027346,1920350951,31456346,196754526,0,1020007595,900343355,1.79,6.84,51009616,255122005,777479596
(주)그래디언트,035080,2015/12,3536848758,2106702049,42995247,121906079,0,1202893253,903808796,2.14,27.72,65149099,322508616,768863353
(주)그래디언트,035080,2016/12,3845761388,2073537018,-39011241,139604598,0,1233206219,840330799,-1.87,-24.01,49505493,373296836,657936103
(주)그래디언트,035080,2017/12,3541486629,1804533355,-63634928,133905382,0,1062216374,742316982,-3.28,-39.77,29816493,355873725,574654791
(주)그래디언트,035080,2018/12,3440906300,1809664488,-4194664,168076807,0,1095183390,714481098,-0.23,-33.05,19963614,335202307,547691655
(주)그래디언트,035080,2019/12,3412333826,1780051911,6507368,143135378,0,1110465400,669586510,0.36,126.23,45164129,333768264,573250573
(주)그리티,204020,2011/12,,,,,,,,,,,,
(주)그리티,204020,2012/12,,,,,,,,,,,,
(주)그리티,204020,2013/12,,,,,,,,,,,,
(주)그리티,204020,2014/12,99923756,51545496,7132762,1055635,0,10608626,40936869,27.68,0,10909472,50017377,5182658
(주)그리티,204020,2015/12,102486038,55745710,5888698,1356635,0,10229529,45516181,10.98,-34.15,7184142,52878053,5756282
(주)그리티,204020,2016/12,105600459,64735243,3293317,838649,0,15346001,49389241,5.47,-35.07,4664730,57053229,7844422
(주)그리티,204020,2017/12,125799821,73262908,7716468,705105,0,17193308,56069599,11.18,117.47,10144193,64784277,8480005
(주)그리티,204020,2018/12,119259702,95755030,4810592,259218,0,21294442,74460588,5.69,-20.69,8045203,62209433,6642410
(주)그리티,204020,2019/12,123079831,92151596,1563323,1068615,0,17970493,74181103,1.66,-63.78,2913982,63757899,9547763
(주)그린플러스,186230,2011/12,,,,,,,,,,,,
(주)그린플러스,186230,2012/12,,,,,,,,,,,,
(주)그린플러스,186230,2013/12,,,,,,,,,,,,
(주)그린플러스,186230,2014/12,,,,,,,,,,,,
(주)그린플러스,186230,2015/12,,,,,,,,,,,,
(주)그린플러스,186230,2016/12,,,,,,,,,,,,
(주)그린플러스,186230,2017/12,,,,,,,,,,,,
(주)그린플러스,186230,2018/12,46357455,63717254,2269801,992428,0,39721703,23995551,3.56,0,5106600,3432416,35615042
(주)그린플러스,186230,2019/12,48831866,72321985,2533086,4837160,0,34930648,37391337,3.72,-0.57,5077238,4374729,33841966
(주)글로벌스탠다드테크놀로지,083450,2011/12,41504144,52575255,3521902,3863326,0,24980582,27594673,7.85,-47.57,4242807,11512034,18660607
(주)글로벌스탠다드테크놀로지,083450,2012/12,64812103,53824618,7003711,8776984,0,17816313,36008304,13.16,91.4,8120683,16704035,22209118
(주)글로벌스탠다드테크놀로지,083450,2013/12,80982977,62626777,5925826,9300747,0,19996780,42629997,10.18,-7.27,7530078,18724731,24990371
(주)글로벌스탠다드테크놀로지,083450,2014/12,89122994,69972237,7880919,18149434,0,19126184,50846053,11.89,14.2,8599178,20065522,27006016
(주)글로벌스탠다드테크놀로지,083450,2015/12,84422579,69691968,5703892,15546834,0,13016302,56675666,8.17,-30.09,6011588,24467360,34300719
(주)글로벌스탠다드테크놀로지,083450,2016/12,90819412,89405841,4644376,12768576,0,28626022,60779819,5.84,-18.86,4877910,28465669,35580265
(주)글로벌스탠다드테크놀로지,083450,2017/12,162835484,102400669,15756344,19097277,0,24125110,78275559,16.43,356.36,22260787,33806030,44484251
(주)글로벌스탠다드테크놀로지,083450,2018/12,129850197,105027408,10303468,11785443,0,19219582,85807825,9.93,-53.26,10405764,33089838,50375590
(주)글로벌스탠다드테크놀로지,083450,2019/12,168231754,136751562,17968416,25567080,0,33440861,103310701,14.86,110.54,21908352,44435955,47773118
(주)금화피에스시,036190,2011/12,,,,,,,,,,,,
(주)금화피에스시,036190,2012/12,,,,,,,,,,,,
(주)금화피에스시,036190,2013/12,166122419,142932108,22786047,2694803,0,25315182,117616926,15.94,0,27103680,8182062,53325515
(주)금화피에스시,036190,2014/12,189631759,158057524,21397903,8385311,0,24531587,133525938,14.22,-13.49,23448696,10437334,65654251
(주)금화피에스시,036190,2015/12,235969690,189001800,22676558,16992167,0,39950792,149051009,13.07,18.06,27682715,11973420,67724245
(주)금화피에스시,036190,2016/12,235018376,215036137,23917682,21004167,0,46326207,168709929,11.84,7.71,29816098,10489086,70307486
(주)금화피에스시,036190,2017/12,205781841,231639148,20153925,23281103,0,47411791,184227358,9.02,13.58,33863833,8842079,73557123
(주)금화피에스시,036190,2018/12,233326733,262516457,39649709,24232563,0,41789419,220727038,16.05,22.21,41384787,9844371,84500534
(주)금화피에스시,036190,2019/12,209435314,281692946,27677441,32113492,0,42283315,239409631,10.17,-17.05,34327291,9314629,97683763
(주)기가레인,049080,2013/12,94791934,122523850,10828194,22445030,0,60137638,62386212,8.84,0,12948738,7259243,69853072
(주)기가레인,049080,2014/12,95718992,131923500,7764423,10892437,0,56351498,75572002,6.1,-29.71,9101817,8674738,89007480
(주)기가레인,049080,2015/12,61576391,151757532,-13369109,16930986,0,86012923,65744609,-9.43,0,-18852731,8159713,105998871
(주)기가레인,049080,2016/12,75445071,155732003,-10347329,9619384,0,98134514,57597489,-6.73,0,-9108288,10055495,109587720
(주)기가레인,049080,2017/12,100131227,181628353,-920801,7394924,0,92959232,88669121,-0.55,0,5232144,12183315,109285289
(주)기가레인,049080,2018/12,124772205,179113947,-21635992,6526724,0,110553832,68560115,-12,-147.73,-2497484,21226924,81888782
(주)기가레인,049080,2019/12,72769411,117798198,-46059977,5853130,0,89733582,28064616,-31.03,0,-29598747,16912543,57664364
(주)기산텔레콤,035460,2011/12,65679195,86259438,-12092371,4783873,0,52370807,33888631,-13.21,0,-10359858,17500641,30783162
(주)기산텔레콤,035460,2012/12,74315907,73234520,-1882261,14067531,0,41717873,31516647,-2.36,0,1714513,11569139,17614087
(주)기산텔레콤,035460,2013/12,79463728,78811114,3928729,13512852,0,42293634,36517480,5.17,198.65,5120351,12094204,15114539
(주)기산텔레콤,035460,2014/12,74512326,78052777,2744606,14133337,0,39545997,38506780,3.5,-65.87,1747320,13508611,13218547
(주)기산텔레콤,035460,2015/12,79710503,76012528,1701580,22741404,0,33753043,42259485,2.21,-8.69,1595421,11909342,11551237
(주)기산텔레콤,035460,2016/12,59172319,74209973,-2639743,16070259,0,34339130,39870843,-3.51,-282.68,-2914471,12668398,11267093
(주)기산텔레콤,035460,2017/12,63467585,70137339,-5538516,15802190,0,35145065,34992274,-7.67,0,-3230591,12327334,11784992
(주)기산텔레콤,035460,2018/12,56445716,56180491,-3327575,7759395,0,24539492,31640999,-5.27,0,-2927420,12071326,9643736
(주)기산텔레콤,035460,2019/12,67054955,66789756,3498486,14470449,0,32098792,34690964,5.69,0,3995820,10390345,17736109
(주)까스텔바작,308100,2016/12,33625854,63783889,-1636973,3892134,0,18181658,45602231,,,5129079,18370098,20524420
(주)까스텔바작,308100,2017/12,84152107,64903846,6356092,4201650,0,12992504,51911343,9.88,134.37,12020807,44622187,16942519
(주)까스텔바작,308100,2018/12,92346623,79266755,11214626,13959137,0,16480058,62786697,15.56,21.24,14574144,43742601,16393780
(주)까스텔바작,308100,2019/12,81358617,89005071,6869624,15122601,0,12326845,76678226,8.16,-38.12,9018785,41101039,22804067
(주)나노,187790,2014/12,,,,,,,,,,,,
(주)나노,187790,2015/12,29901810,99495652,-8990586,3214353,0,56835726,42659926,-9.04,0,-8471990,8490417,49714366
(주)나노,187790,2016/12,48175171,83440884,-24388859,3411306,0,49121575,34319308,-26.66,0,-14162416,12300517,49143807
(주)나노,187790,2017/12,73089292,91574665,89291,4796891,0,46672426,44902238,0.1,0,1661616,8706034,48752247
(주)나노,187790,2018/12,81942719,108261295,-467314,7605065,0,48795977,59465317,-0.47,31.99,2193238,8741884,57143454
(주)나노,187790,2019/12,73694955,116141232,-298564,8927634,0,54119319,62021912,-0.27,-139.66,-869772,8079981,66992710
(주)나노브릭,286750,2015/12,,,,,,,,,,,,
(주)나노브릭,286750,2016/12,,,,,,,,,,,,
(주)나노브릭,286750,2017/12,5983442,18335455,-3770569,175169,0,17601109,734346,-20.56,0,-2002095,2456704,15951132
(주)나노브릭,286750,2018/12,7186469,18088485,859279,1831559,0,16564282,1524203,4.72,0,-1291703,2770876,13290252
(주)나노브릭,286750,2019/12,7775408,24551526,-780552,906003,0,10401714,14149812,-3.66,0,-1512607,3413171,12837283
(주)나노신소재,121600,2011/12,33480756,73056413,4687969,7990206,0,14862539,58193875,7.63,-49.06,4489990,10830632,26031143
(주)나노신소재,121600,2012/12,23644347,68351781,-1446732,5273499,0,11759222,56592559,-2.05,0,-699837,7914579,26225984
(주)나노신소재,121600,2013/12,27009014,67523690,1166791,5988857,0,9662746,57860945,1.72,0,1396876,8323063,24724477
(주)나노신소재,121600,2014/12,27926752,71678554,3793548,6194063,0,10100184,61578369,5.45,164.82,3699232,8669138,22772272
(주)나노신소재,121600,2015/12,43140425,83449448,7655911,13744684,0,9564248,73885201,9.87,145.9,9096516,10711485,22486948
(주)나노신소재,121600,2016/12,41111800,84239207,5940058,12910461,0,6650128,77589079,7.08,-30.8,6294911,11551023,21753627
(주)나노신소재,121600,2017/12,45568866,88963512,6827889,6529309,0,6050113,82913399,7.88,35.52,8531076,12167525,27282199
(주)나노신소재,121600,2018/12,52249960,98480424,7671621,7393837,0,9625376,88855048,8.19,2.56,8749523,13797343,27688024
(주)나노신소재,121600,2019/12,48892961,101893569,5801286,12604945,0,8105979,93787590,5.79,-41.21,5143898,14173740,27380713
(주)나노엔텍,039860,2011/12,13153879,49649382,-12202620,3032505,0,20901311,28748071,-24.58,0,-11116954,8725371,13023537
(주)나노엔텍,039860,2012/12,13435035,44437103,-5883367,2293703,0,21460502,22976602,-13.24,0,-5328956,6476611,18253171
(주)나노엔텍,039860,2013/12,19084457,44803627,-1236713,4872522,0,21225655,23577971,-2.77,0,-473071,5650114,19790581
(주)나노엔텍,039860,2014/12,19498657,43261142,-2464001,1803422,0,7758770,35502372,-5.6,0,-2591623,8050350,20127349
